Farmer_ID,First Name,Last Name,Phone Number,Age,Gender,State of Residence,Education_Level,Years_in_Farming,Has_Bank_Account,Bank Account,Bank Name,Digital_Literacy_Level,Cooperative_Member,Agribusiness_Training
FARMER_001,Zainab,Balogun,09060227680,32,Female,Jigawa,Primary,9,True,3385468340,Polaris Bank,Low,False,True
FARMER_002,Ijeoma,Alabi,08180026577,21,Male,Ondo,None,10,True,3071271958,Fidelity Bank,Medium,True,True
FARMER_003,Femi,Ibe,08172580863,25,Female,Lagos,Tertiary,1,True,6966750183,Access Bank,High,True,True
FARMER_004,Uchenna,Ibe,07062713332,33,Male,Katsina,Secondary,8,False,,,Low,True,True
FARMER_005,Bayo,Umeh,08137593586,33,Female,Akwa Ibom,None,1,True,0580259463,First Bank,High,True,True
FARMER_006,Segun,Mohammed,09055702202,21,Female,Jigawa,Primary,9,True,1842153809,Polaris Bank,High,True,True
FARMER_007,Zainab,Ibe,09033481367,30,Male,Kwara,Secondary,6,True,1987964284,UBA,High,False,False
FARMER_008,Kelechi,Danjuma,08106171396,30,Female,Delta,None,1,True,4769638687,GTBank,High,True,True
FARMER_009,Musa,Adedoyin,07016872032,19,Male,Niger,Secondary,8,True,3659692754,UBA,High,True,False
FARMER_010,Uchenna,Onwudiwe,07089572486,20,Male,Edo,Primary,5,False,,,Low,True,False
FARMER_011,Uchenna,Olatunji,07062252583,25,Male,Benue,Secondary,7,True,3392303455,Jaiz Bank,High,False,True
FARMER_012,Oluchi,Ibrahim,07019147811,32,Male,Imo,Secondary,7,True,4956857586,Keystone Bank,Low,False,True
FARMER_013,Segun,Ogbonna,08185354259,28,Female,Abia,Primary,7,True,3541444323,First Bank,High,True,True
FARMER_014,Ifeanyi,Adeyemi,09066526144,26,Male,Nasarawa,Secondary,6,True,0643499218,Ecobank,Low,True,False
FARMER_015,Bayo,Ibe,09079751685,24,Male,FCT,None,11,False,,,Medium,True,False
FARMER_016,Oluchi,Yusuf,08121757503,30,Male,Rivers,Secondary,8,False,,,High,True,True
FARMER_017,Tunde,Onwudiwe,08061398225,19,Male,Zamfara,Tertiary,9,True,7628229453,Stanbic IBTC,Medium,False,False
FARMER_018,Nneka,Adeyemi,08140407714,25,Female,Oyo,None,12,False,,,Medium,False,True
FARMER_019,Segun,Okeke,08022842572,24,Male,Taraba,Secondary,2,True,0073737554,First Bank,Medium,False,False
FARMER_020,Amina,Umeh,08053638420,29,Female,Abia,Tertiary,7,True,7042977564,Keystone Bank,High,True,True
FARMER_021,Oluchi,Okeke,08065220629,24,Female,Borno,Tertiary,2,True,7985273662,Keystone Bank,Medium,True,False
